CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
EQUIPAMENTO;9102140367;1171264;IE-RELIGADOR-CSN-01C5-J05899;REMANSO;;;MIGRAR;;NÃO INICIADA;0;1;;;;;PLANO 8;100%;R$ 97.309,03;;01/03/2025;31/03/2025;;;DEBORA;-9,22023;-40,870501;;mar.-25;;;;;DA PLANILHA;E619926;E619926;JUAZEIRO;2025-03-01;1171264;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102159864;1180504;ER-CIND-RUA-SANTA INES-MATA BURRO;JUAZEIRO;;;;;RETIRADA;4;1;;;;;PLANO 7;100%;R$ 6.287,31;;;;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1180504;Descartado;Status Excluído (STATUS, STATUS 1)
PRIORIDADE PLANO ANEEL;9102157259;1181926;UB-CIND-RUA-ALTO LINDO-CENTRO;JUAZEIRO;;;;;RETIRADA;2;1;;;;;PLANO 7;100%;R$ 6.132,08;;;;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1181926;Descartado;Status Excluído (STATUS, STATUS 1)
PRIORIDADE PLANO ANEEL;9102164042;1182461;UB-CIND-ROD-235 KM 01 23-CENTRO;REMANSO;;;ENTREGAR;;NÃO INICIADA;3;1;;;;;PLANO 7;100%;R$ 33.926,10;;01/03/2025;29/03/2025;;;DEBORA;;;;mar.-25;;;;;DA PLANILHA;E619961;E619961;JUAZEIRO;2025-03-01;1182461;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102163554;1182582;ER-CIND-SI ASSENT SAO JOSE-RURAL;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;1;;;;;PLANO 7;100%;R$ 4.265,79;;24/03/2025;24/03/2025;;PAULO JUNIOR;DIEGO;;;;mar.-25;;;;;DA PLANILHA;E619962;E619962;JUAZEIRO;2025-03-01;1182582;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153932;1182613;AC-CIND-FAZ-RIO SALITRE-RURAL;JUAZEIRO;;;;;RETIRADA;1;1;;;;;PLANO 7;100%;R$ 24.931,23;;;;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1182613;Descartado;Status Excluído (STATUS, STATUS 1)
PRIORIDADE PLANO ANEEL;9102156418;1183735;ER-CIND-POV-JUREMAL 1026-RURAL;JUAZEIRO;;;;;RETIRADA;1;1;;;;;PLANO 7;100%;R$ 6.723,11;;;;;;EDVALDO;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1183735;Descartado;Status Excluído (STATUS, STATUS 1)
REPUTACIONAL;9102132629;1161619;ER-CIND-FAZ-MASSAYO-RURAL;JUAZEIRO;;;ENTREGA;;NÃO INICIADA;1;1;;;;;PLANO 7;100%;R$ 91.201,34;R$ 22.800,34;01/03/2025;28/03/2025;;ANDERSON;VICTOR;-9,372143;-40,349066;;;;;;;1020103/APROVADA;E725929;E725929;JUAZEIRO;2025-03-01;1161619;Consolidado;N/A
AL/MELHORAMENTO;9102006140;1157282;AL 06-NOVA TOUR O - CONSTRU  O 1 3;JUAZEIRO;;;PES 37074 OC 533;01/04;NÃO INICIADA;0;1;;;;;PLANO 1;100%;R$ 15.075,30;R$ 3.768,83;01/03/2025;31/03/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA;E620083;E620083;JUAZEIRO;2025-03-01;1157282;Consolidado;N/A
;9102146389;1177220;ER-CCOL-POV-BREJO FORA-BREJO FORA;SOBRADINHO;22/03;OK;ENTREGA;;ESCAVAÇÃO;1;1;;;1;;;100%;;;27/03/2025;29/03/20225;FERNANDO;SANTIAGO;;-9.533.277;-41.045.161;;;FALSE;;FALSE;FALSE;DA PLANILHA;E620088;E620088;JUAZEIRO;2025-03-01;1177220;Consolidado;N/A
QLP;9102089916;1151587;ER-CIND-POV-MANICOBA 29-RURAL;JUAZEIRO;;;;;RETIRADA;1;0;;;;;PLANO 7;100%;R$ 5.026,97;;;;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1151587;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102098277;1159829;ER-CIND-FAZ-PE DE MORRO-RURAL;JUAZEIRO;;;;;RETIRADA;2;0;;;;;PLANO 7;100%;R$ 29.249,57;;;;;;VICTOR;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1159829;Descartado;Status Excluído (STATUS, STATUS 1)
QLP;9102142158;1170155;ER-CIND-POV-LADEIRA GRANDE-RURAL;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;0;;;;;PLANO 7;100%;R$ 14.887,10;;16/03/2025;16/03/2025;;PAULO JUNIOR;DIEGO;-9,367907548;-41,4836263;;mar.-25;;;;;0 POSTE;;;JUAZEIRO;2025-03-01;1170155;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102154178;1182418;UB-CIND-CJN-QD A 1-VILA ISABEL;CASA NOVA;;;PES 36829 OC 77157;31/03;CONCLUIDA;1;0;;;;;PLANO 7;100%;R$ 16.369,50;;29/03/2025;29/03/2025;;PAULO JUNIOR;DIEGO;-9,182235;-40,977159;;mar.-25;;;;;0 POSTE;;;JUAZEIRO;2025-03-01;1182418;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102166517;1183167;UB-CIND-CA-7 9995-JO O PAULO II;JUAZEIRO;;;;;RETIRADA;1;0;;;;;PLANO 7;100%;R$ 6.393,82;;;;;;EDVALDO;;;;mar.-25;;;;;;;;JUAZEIRO;2025-03-01;1183167;Descartado;Status Excluído (STATUS, STATUS 1)
PRIORIDADE PLANO ANEEL;9102169053;1184513;ER-CIND-POV-MANGUEIRA II-MANGUEIRAS;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;0;;;;;PLANO 7;100%;R$ 11.503,88;;25/03/2025;25/03/2025;;PAULO JUNIOR;DIEGO;-8,995543;-40,973823;;mar.-25;;;;;0 POSTE;;;JUAZEIRO;2025-03-01;1184513;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102157989;1185126;AC-CIND-SI-BARREIRINHO-RURAL-CASA NOVA;CASA NOVA;;;MIGRAR;;NÃO INICIADA;1;0;;;;;PLANO 7;100%;R$ 23.282,58;;01/03/2025;31/03/2025;;PAULO JUNIOR;DIEGO;;;;mar.-25;;;;;0 POSTE;;;JUAZEIRO;2025-03-01;1185126;Consolidado;N/A
