NOTA;DATA DO CONTATO;DATA DO RETORNO;MUNICIPIO;RESPONSAVEL;STATUS;CONFORMIDADE
4506262803;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506264333;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506264337;2024-09-13;2024-09-13;SENHOR DO BONFIM;AMANDA;Apto;Apto
4506264338;2024-09-13;2024-09-13;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506265324;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506265334;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506265337;2024-09-12;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266379;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506268198;2024-09-13;2024-09-13;SENHOR DO BONFIM;AMANDA;Apto;Apto
4506268875;2024-09-13;2024-09-13;SENHOR DO BONFIM;AMANDA;Apto;Apto
4506269587;2024-09-12;;SENHOR DO BONFIM;JOVANIA;Inapto;Irregularidade do Padrao
4506228148;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506238384;2024-09-12;2024-09-12;SENHOR DO BONFIM;AMANDA;Inapto;Deficiencia tecnica
4506253405;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506253816;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506258465;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506258466;2024-09-12;2024-09-12;SENHOR DO BONFIM;AMANDA;Inapto;Deficiencia tecnica
4506258909;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506258918;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506259859;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506259885;2024-09-12;2024-09-12;SENHOR DO BONFIM;AMANDA;Inapto;Deficiencia tecnica
4506260957;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Inapto;Irregularidade do Padrao
4506261576;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506261826;2024-09-13;2024-09-16;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506261832;2024-09-13;;SENHOR DO BONFIM;JOVANIA;Aguardando Retorno;Aguardando retorno cliente
4506261837;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506262413;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506262416;2024-09-13;2024-09-16;SENHOR DO BONFIM;ITHALLO;Sem contato;Sem retorno
4506262868;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506264365;2024-09-13;2024-09-13;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506265799;2024-09-13;;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506266368;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266529;2024-09-13;;SENHOR DO BONFIM;JOVANIA;Apto;Apto
4506267283;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506267689;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Sem retorno
4506269260;2024-09-13;2024-09-16;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506269265;2024-09-12;2024-09-12;SENHOR DO BONFIM;AMANDA;Inapto;Deficiencia tecnica
4506242849;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254324;2024-09-16;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254487;2024-09-16;2024-09-16;SENHOR DO BONFIM;DENIZE;Sem contato;Sem retorno
4506257892;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506259905;2024-09-13;2024-09-16;SENHOR DO BONFIM;ITHALLO;Sem contato;Sem retorno
4506260413;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506261898;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506262004;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506262917;2024-09-13;2024-09-13;SENHOR DO BONFIM;ITHALLO;Inapto;Cliente deseja KIT financiado
4506263317;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506264439;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506266816;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506267313;2024-09-13;2024-09-16;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506268845;2024-09-13;2024-09-16;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506268892;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506269268;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506269269;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506269707;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506269815;2024-09-16;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506270215;2024-09-16;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506271504;2024-09-13;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506272538;2024-09-16;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;Aguardando retorno cliente
4506273022;2024-09-16;2024-09-16;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506273039;2024-09-16;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
