CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;STATUS 2;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
ESTRATÉGICA;9102045961;1135898;ER-CIND-POV-CARNAIBA DO SERTAO-RURAL;JUAZEIRO;;OK;MIGRAR;;;;CONCLUIDA;01/07/2025;1;6;6;6;;;PLANO 7;100%;;;R$ 10.200,00;30/06/2025;01/07/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E774746;E774748;JUAZEIRO;01/07/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102128816;1164275;IS-CIND-RUA-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;OK;;;;;CONCLUIDA;;0;5;5;5;;;;100%;R$ 9.556,13;R$ 1.911,23;R$ 8.500,00;09/07/2025;15/07/2025;PEDRO BATISTA;EDIE JONNES;VICTOR COSTA;-9,43963;-40,5205;;DA PLANILHA;E820025;E820026;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9102158308;1182674;ER-CIND-POV-SERRA DOS ESPINHOS-RURAL;JUAZEIRO;;;MIGRAR;;;;CONCLUIDA;;1;5;5;5;;;PLANO 7;100%;;;R$ 8.500,00;28/07/2025;29/07/2025;PAULO;EDIE JONNES;;;;;DA PLANILHA;E799882;E799886;JUAZEIRO;01/07/2025;Consolidado;N/A
AIC OBJETIVO;9102087522;1145356;ER-CIND-SI-BARRO RACHADO 145 --A-RURAL;CASA NOVA;;OK;MIGRAR;;;;CONCLUIDA;01/07/2025;1;4;4;4;;;PLANO 7;100%;;;;01/07/2025;07/07/2025;JORGE;JORGE;;;;;;;;JUAZEIRO;01/07/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102163775;1188220;AC-CIND-RUA-TITO NUNES DE S-JARDIM FLOR;JUAZEIRO;;;;;;;CONCLUIDA;;0;3;1;3;;;7.1.1.3;100%;R$ 69.409,41;R$ 13.881,88;R$ 5.100,00;22/07/2025;28/07/2025;PEDRO BATISTA ;EDIE JONNES;SANDRO DUARTE;-9,42992;-40,5102;;DA PLANILHA;E820020;E820022;JUAZEIRO;01/07/2025;Consolidado;N/A
QLA;9101725732;1009250;ER CIND POV BREJO DE FORA RURAL;SENTO SÉ;; ;MIGRAR;;;;CONCLUIDA;;;3;3;3;;;PLANO 7;100%;R$ 23.591,18;;R$ 5.100,00;23/07/2025;28/07/2025;JACSON;SANTIAGO;;;;;DA PLANILHA;E800436;E800438;JUAZEIRO;01/07/2025;Consolidado;N/A
REPUTACIONAL;9102158345;1183107;EQ-GRUA-CJN-MINERACAO CARAIBA-RURAL;JUAZEIRO;MIGRAR;;OURO;S/ EQUIPAMENTO;;;NÃO INICIADA;;0;0;;0;;;7.1.2.3;100%;R$ 677.454,86;R$ 135.490,97;R$ 0,00;30/07/2025;30/07/2025;PAULO;EDIE JONNES;CARLOS EDUARDO;-9,35344;-39,9153;;0 POSTE;;;JUAZEIRO;01/07/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102219759;1196624;AC-CIND-RUA-MALHADA DA AREIA-MALHADA DA;JUAZEIRO;MIGRAR;;;;;;NÃO INICIADA;;1;0;;0;;;7.1.1.3;100%;R$ 36.142,11;R$ 7.228,42;R$ 0,00;09/07/2025;16/07/2025;PEDRO BATISTA;EDIE JONNES;VICTOR COSTA;-9,44444;-40,5154;;0 POSTE;;;JUAZEIRO;01/07/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102223744;1196674;UB-CIND-RUA-DOS UMBUZEIROS-QUADRA 14;REMANSO;;OK;MIGRADA;;;;CONCLUIDA;;3;2;2;2;;;PLANO 7;100%;;;R$ 3.400,00;23/06 2025;11/07/2025;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA;E799935;E799936;JUAZEIRO;01/07/2025;Consolidado;N/A
GOVERNO;9102096483;1132085;ER-SEIN-RUA-DAS FLORES-XIQUE-XIQUE;PILÃO ARCADO;AVANÇO;;OURO;;;;NÃO INICIADA;;11;26;;13;;;7.1.2.3;50%;R$ 243.570,88;R$ 48.714,18;R$ 44.200,00;07/07/2025;31/07/2025;MAURICIO;PAULO JUNIOR;DEBORAH LUMA;-10,5569;-42,6234;;DA PLANILHA;E799629;E799654;JUAZEIRO;01/07/2025;Consolidado;N/A
