CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
ESTRATÉGICA;9102122743;1162299;ER-CIND-POV-LAGOA DO GIL-LAGOA DO GIL;REMANSO;;;;;;NÃO INICIADA;;1;1;;;;;;100%;R$ 107.513,65;R$ 26.878,41;R$ 2.100,00;15/04/2025;30/04/2025;DOMINGOS;PAULO JUNIOR;DEBORA;-9,534525;-42,281247;;;;;;;DA PLANILHA ;E750508;E750508;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101611073;1053585;MP-CIND-POV-TRAIRAS-RURAL;SOBRADINHO;;;;MIGRAR;;NÃO INICIADA;;1;14;;;;;;100%;R$ 123.165,81;R$ 30.791,45;R$ 29.400,00;17/05/2025;21/05/2025;CARLOS ;SANTIAGO;;-9,631588;-40,918664;;;;;;;DA PLANILHA ;E750509;E750522;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9102125740;1161662;ME-COEL-RUA-TIRADENTES 1-CENTRO-C ALEGRE;CAMPO ALEGRE DE LOURDES;;OK;;MIGRAR;;NÃO INICIADA;;0;3;;;;;PLANO 8;100%;R$ 803.302,22;R$ 200.825,56;R$ 6.300,00;17/05/2025;17/05/2025;DOMINGOS;PAULO JUNIOR;DEBORA;-9,354759;-43,401637;;mar.-25;;;;;DA PLANILHA;E619864;E619866;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9102047690;1132936;MP CIND POV RIACHO SECO RURAL;CURAÇÁ;;OK;;MIGRAR;;NÃO INICIADA;;2;16;;;;;;100%;R$ 171.281,73;R$ 42.820,43;R$ 33.600,00;28/05/2025;31/05/2025;IVONALDO;SANTIAGO;;-8,832962;-39,6105526;;;;;;;DA PLANILHA;E750242;E750257;JUAZEIRO;01/04/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102068123;1141818;ER-CIND-SI-PASCACIO-RURAL;CASA NOVA;;;;;ADC - FASE;NÃO INICIADA;;0;0;;;;;;100%;R$ 26.704,72;;R$ 0,00;30/04/2025;30/04/2025;DANIEL / AILTON;PAULO JUNIOR;DIEGO;-9,3063835;-41,1366298;;;;;;;0 POSTE ;;;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9102089651;1146682;NT-RECOND-RMN-09X1-Q076416-Q076429;PILÃO ARCADO;;;;;;NÃO INICIADA;;0;4;;;;;PLANO 8;100%;R$ 473.229,74;;R$ 8.400,00;16/04/2025;30/04/2025;DOMINGOS;PAULO JUNIOR;DEBORA;-9,9609048;-42,4062434;;fev.-25;FALSE;;FALSE;FALSE;1019014/APROVADA ;E725862;E725865;JUAZEIRO;01/04/2025;Consolidado;N/A
GOVERNO;9102157612;1172946;IE-REGULADOR-RMN-09X1-Q076477;PILÃO ARCADO;;;;;;NÃO INICIADA;;0;2;;;;;PLANO 8;100%;R$ 189.769,75;;R$ 4.200,00;17/04/2025;30/04/2025;DOMINGOS;PAULO JUNIOR;DIEGO;-9,9975706;-42,4459334;;fev.-26;FALSE;;FALSE;FALSE;1020107/APROVADA;E725932;E725933;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL OURO;9102103285;1157069;ER-CIND-POV-BARRO VERMELHO-RURAL;CURAÇÁ;;OK;;MIGRAR;;NÃO INICIADA;;1;42;;;;;PLANO 7;100%;R$ 235.113,59;R$ 58.778,40;R$ 88.200,00;01/05/2025;10/05/2025;FABIO;SANTIAGO;CARLOS EDUARDO;-9,4421052;-39,7821061;;mar.-25;;;;;DA PLANILHA ;E619712;E619753;JUAZEIRO;01/04/2025;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL OURO;9102153527;1175314;IS-CIND-RUA-AGUAS BELAS-MALHADA DA AREIA;JUAZEIRO;;OK;;MIGRAR;;NÃO INICIADA;;0;7;;;;;;100%;R$ 61.369,62;R$ 15.342,41;R$ 14.700,00;15/05/2025;15/05/2025;PAULO;SANTIAGO;;-9,436534358;-40,475387;;;;;;;DA PLANILHA ;E619973;E619979;JUAZEIRO;01/04/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101977212;1115260;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;;OK;;MIGRAR;;NÃO INICIADA;;1;4;;;;;PLANO 7;100%;R$ 69.502,35;R$ 17.375,59;R$ 8.400,00;19/05/2025;20/05/2025;DOMINGOS;PAULO JUNIOR;DIEGO;-10,000539;-42,480473;;;;;;;1016690/APROVADA;E710834;E710841;JUAZEIRO;01/04/2025;Consolidado;N/A
GOVERNO;9102074965;1145056;RR-SEIN-POV-CALDEIRAOZINHO-RURAL;UAUÁ;;OK;;RUBEM;;NÃO INICIADA;;11;149;;;;;;25%;R$ 932.642,15;;;21/04/2025;31/05/2025;RUBENS;RUBENS;;-10,13720546;-39,45350936;;;;;;;DA PLANILHA ;E749675;E749823;JUAZEIRO;01/04/2025;Consolidado;N/A
