PROJETO_FATO;Carteira;COORD;TÍTULO;MUNICIPIO;STATUS;CLIET.;PSTP;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVNP;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;TITULO;CRITERIO;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;RESPONSÁVEL;CLIENTE;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERG. INFORMADA;OBS.1
1095451;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;3;2;;;7.1.2.3;100%;;;JUAREZ;IVONALDO;;-9.549811;-40.6425938;;08/12/2025;;;;;;;;AC-CIND-POV HORTO DO SALITRE-RURAL 📸;QLP;CONCLUÍDA;COMPLETO;ADC DUAS TURMAS ;VICTOR BARROS;1;08/12/2025;08/12/2025;09/12/2025;;SIM;NÃO;;Ver no Mapa;08/12/2025;08/12/2025;SIM;
1198350;;JUAZEIRO;;CURAÇÁ;AVANÇO;;18;;;;7.1.2.3;25%;;;TURMA NOVA;EDIE JONNES;;-8.6656868;-39.4263194;;;;;;;;;;ER-CCOL-RUA-04 AGROVILA-PEDRA BRANCA;;NÃO INICIADA;;;CARLOS EDUARDO;;;15/08/2025;31/10/2025;;;;;Ver no Mapa;;;;
1204135;;JUAZEIRO;;REMANSO;CONCLUIDA;;2;2;;;7.1.1.3;100%;;;MANUTENÇÃO;ANDERSON;;-9.61832;-42.0875;;19/11/2025;;;;;;;;UB-CIND-RUA-DOS COQUEIROS-QUADRA 14 🕯️;QLP;ENERGIZADA;COMPLETO;;MARLOS LOPES ;1;19/11/2025;19/11/2025;20/11/2025;;NÃO;NÃO;;Ver no Mapa;19/11/2025;19/11/2025;SIM;
1032275;;JUAZEIRO;;JUAZEIRO;MIGRAR;;6;;;;14.4.12.1;100%;;;MANUTENÇÃO;ANDERSON;;-9.0742368;-40.2047431;;;;;;;;;;ER-CIND-POV-PONTAL-RURAL;;VISITA PRÉVIA;;OURO;VICTOR BARROS;1;;02/09/2025;03/09/2025;10/09/2025;;;;Ver no Mapa;;;;
1149015;;JUAZEIRO;;CASA NOVA;CONCLUIDA;;1;1;;;8.4.1.3;100%;;;PEDRO LINO;ANDERSON;;-9.3690855;-40.7984526;;31/10/2025;;;;;;;;IE-BANCO CAPACITOR-MND-01N3 📸;EQUIPAMENTO;CONCLUÍDA;;;DIEGO ALMEIDA;1;;27/10/2025;27/10/2025;04/11 Á 04/11;SIM;NÃO;;Ver no Mapa;31/10/2025;31/10/2025;31/10/2025;
1214805;;JUAZEIRO;;JUAZEIRO;MIGRAR;;44;;;;LPT;100%;;;IVONALDO;SANTIAGO;;-9.3149446;-40.0475408;;;;;;;;;;ER-CIND-FAZ-BARRA BONITA-RURAL;;LOCADA;;OURO / VAI SER 22 POSTE;VICTOR BARROS;3;;17/09/2025;24/10/2025;;;;;Ver no Mapa;;;;
1179465;;JUAZEIRO;;CURAÇÁ;CONCLUIDA;;1;1;;;0;100%;;;JUAREZ;EDIE JONNES;;-8.5983057;-39.4422582;;25/10/2025;;;;;;;;ER-CIND-POV-CALCADO 552-RURAL;QLP;CONCLUÍDA;;;CARLOS EDUARDO;1;;13/10/2025;13/10/2025;;SIM;NÃO;;Ver no Mapa;25/10/2025;25/10/2025;27/10/2025;
1204645;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;1;1;;;7.1.1.3;100%;;;PEDRO LINO;ANDERSON;;-9.4513069;-40.4975867;;03/10/2025;;;;;;;;AC-CIND-ROD-BA 210-DISTRITO INDUSTRIAL;;CONCLUÍDA;;;MARLOS LOPES ;1;03/10/2025;03/10/2025;03/10/2025;;SIM;NÃO;;Ver no Mapa;03/10/2025;03/10/2025;06/10/2025;
1159894;;JUAZEIRO;;JUAZEIRO;AVANÇO;;66;;;;7.1.1.5;40%;;;IVONALDO;SANTIAGO;;-9.4665442;-40.4999899;;;;;;;;;;UB-CIND-RUA-JUAZEIRO-2;;IMPLANTAÇÃO;PARCIAL;OURO;VICTOR BARROS;1;;;;;;SIM;;Ver no Mapa;19/08/2025;;;
1203125;;JUAZEIRO;;JUAZEIRO;CONCLUIDA;;1;1;;;7.1.2.3;100%;;;GISMARIO;EDIE JONNES;;-9.9229584;-40.3748457;;13/10/2025;;;;;;;;ER-CIND-POV-SERRA DA BOA VISTA 3-RURAL;;CONCLUÍDA;;;VICTOR BARROS;1;;10/10/2025;10/10/2025;;SIM;NÃO;;Ver no Mapa;13/10/2025;13/10/2025;14/10/2025;
